title,company,location,salary,job_type,date_listed,description,url,search_keyword
Business Analyst,Macquarie Group,Indonesia,,,1d ago,"Additional office locations Sydney Job ID 20772 Date 04-Mar-2026 Permanent - Full time, Mid-level Job category BFS - Business Analyst You will play a central role in shaping and refining our identity management policies and processes. You will work closely with engineers and agile delivery teams to translate business needs into clear requirements, contribute to feature refinement, and support the adoption of modern cloud‑based identity solutions. Your work will help ensure our access management practices are robust, scalable, and aligned with our broader transformation goals You will play a central role in shaping and refining our identity management policies and processes. You will work closely with engineers and agile delivery teams to translate business needs into clear requirements, contribute to feature refinement, and support the adoption of modern cloud‑based identity solutions. Your work will help ensure our access management practices are robust, scalable, and aligned with our broader transformation goals",https://id.jobstreet.com/job/90712166?type=standard&ref=search-standalone&origin=cardTitle#sol=f4d4d7f36ee77fbcf9f705bdedcbff0bad87aa9a,data scientist
Data Scientist,PT AIA Financial,Jakarta,,,1d ago,"At AIA we’ve started an exciting movement to create a healthier, more sustainable future for everyone. As pioneering innovators for over 100 years, we’re now transforming our organisation to be faster, simpler and more connected. Because we want to be even better equipped to develop digital solutions and experiences that help more people live Healthier, Longer, Better Lives. To get there, we need people with tech/digital/analytics expertise and passion to help develop positive, sustainable change through digitally enhanced experiences that will impact the lives of millions of people and create a healthier future for everyone. If you believe in developing a better tomorrow, read on. About the Role Responsible for creating data modelling tools to identify opportunities through insight from data Create and deploy repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products, through the use of statistical, algorithmic, mining techniques Advocate and educate on the value of data driven decision making Prepare data from different data sets for building predictive models and to communicate the results. Develop AI and Machine learning solutions to optimize business performance #LI-DNI Build a career with us as we help our customers and the community live Healthier, Longer, Better Lives. You must provide all requested information, including Personal Data, to be considered for this career opportunity. Failure to provide such information may influence the processing and outcome of your application. You are responsible for ensuring that the information you submit is accurate and up-to-date.",https://id.jobstreet.com/job/90720642?type=standard&ref=search-standalone&origin=cardTitle#sol=696abc435d7719c6cdb765ee3779654f30b47cc2,data scientist
Fulltime Faculty Member - Computer Science (BINUS @Medan Campus),Yayasan Bina Nusantara,Medan,,,1d ago,"Provide the best learning experience to improve Faculty/School competitive advantage Manage overall activities of a comprehensive content delivery in alignment with market standards to increase the employability of the graduates Involve in the activities for non-tuition revenue generation within respective Faculty/School (e.g. research and professional services) Coordinate with other units to promote the program to build more awareness of the competitiveness of the program Requirements: Master’s degree in Computer Science or a related field Preferably holds an academic rank (Jenjang Jabatan Akademik, JJA) from DIKTI Passionate about and experienced in teaching and research Willing to take on a structural faculty role, with BINUS University as the homebase Willing to be based in Medan, North Sumatra",https://id.jobstreet.com/job/90711228?type=standard&ref=search-standalone&origin=cardTitle#sol=a50f17c427c9cdc121c259b64a8dff5dcbe5bc46,data scientist
DATA ANALYST,A&W Restaurants Indonesia,North Jakarta,,,1d ago,,https://id.jobstreet.com/job/90708113?type=standard&ref=search-standalone&origin=cardTitle#sol=0297e5ec5ea8df9da72edbb85ede032213dd0547,data scientist
Business Intelligence,SCG,South Jakarta,,,1d ago,,https://id.jobstreet.com/job/90707391?type=standard&ref=search-standalone&origin=cardTitle#sol=dbfd63f24a2835d4d7b3a19b41b8032b74ab9e99,data scientist
Data Analyst,PT Propan Raya Industrial Coating Chemicals,Tangerang,,,1d ago,,https://id.jobstreet.com/job/90705696?type=standard&ref=search-standalone&origin=cardTitle#sol=b0748620c680ccdd138b54e13365edc37d1f8c8f,data scientist
Jr. Data Linguistic,ALPHALITICAL,Kebayoran Lama,,,1d ago,,https://id.jobstreet.com/job/90700451?type=standard&ref=search-standalone&origin=cardTitle#sol=d5c2ebf31ce6393e14ac5277c25979c1ae2e340b,data scientist
AI Support Intern,PT. WIZ TECHNOLOGY INDONESIA,Jakarta,,,1d ago,,https://id.jobstreet.com/job/90699304?type=standard&ref=search-standalone&origin=cardTitle#sol=2c78442671368cec0e84eaf850a90464a6b72ae1,data scientist
Regulatory Reporting Business Analyst,Macquarie Group,Indonesia,,,1d ago,,https://id.jobstreet.com/job/90698985?type=standard&ref=search-standalone&origin=cardTitle#sol=f7714bc819947abb2ccf354e175c41b53203312a,data scientist
Data Analyst,PT Internet Mulia Untuk Negeri (NEXA),Semarang,Rp 4.500.000 – Rp 5.500.000 per month,,1d ago,,https://id.jobstreet.com/job/90698699?type=standard&ref=search-standalone&origin=cardTitle#sol=3d8e25aa5ebd1ff5dd3c395b6cd50967957ebf34,data scientist
AnyLab Internship Program: AI Agents and Workflow Automation,AnyMind Group,Jakarta,,,1d ago,,https://id.jobstreet.com/job/90697598?type=standard&ref=search-standalone&origin=cardTitle#sol=fc1c805cda2857fca0d76f9cf5b1f0c3303a5d56,data scientist
Data Analyst for Sales Team,PT.Sinergi Performa Energi Cipta,Kebayoran Lama,,,1d ago,,https://id.jobstreet.com/job/90722508?type=standard&ref=search-standalone&origin=cardTitle#sol=c934310195851cb24b6a4f3c73455f7aeced3aee,data scientist
Market Analyst & Database Staff,Council of Palm Oil Producing Countries (CPOPC),Kemayoran,,,1d ago,,https://id.jobstreet.com/job/90700276?type=standard&ref=search-standalone&origin=cardTitle#sol=b81e4de12f0c60b4df266f72bfa36bebecc7d5be,data scientist
Data Management Supervisor,PT Perindustrian Bapak Djenggot (Orang Tua Group),West Jakarta,,,1d ago,,https://id.jobstreet.com/job/90696187?type=standard&ref=search-standalone&origin=cardTitle#sol=9c47a66634ee10dbcc2e36c7dbc5254a5d299551,data scientist
Sales Analyst,PT. Admiral Paragon Jaya,Bogor Regency,,,1d ago,,https://id.jobstreet.com/job/90695348?type=standard&ref=search-standalone&origin=cardTitle#sol=fafd6355fc8f66d0c324fc1dbe71358378947619,data scientist
Data Science (Machine Learning - Lead),PT. Lintas Teknologi Indonesia,Jakarta,,,2d ago,,https://id.jobstreet.com/job/90690931?type=standard&ref=search-standalone&origin=cardTitle#sol=1bdd644997be9b1f3f17791fc5886f7a0bc8845b,data scientist
Data Analyst / PDCA,PT. CBA Chemical Industry,Tangerang,,,2d ago,,https://id.jobstreet.com/job/90688861?type=standard&ref=search-standalone&origin=cardTitle#sol=cedadec326491a24d88f71afb81ed508b8eb9f55,data scientist
Head of Sales Strategy & Analytics,WireHire,Kebayoran Lama,,,2d ago,,https://id.jobstreet.com/job/90686262?type=standard&ref=search-standalone&origin=cardTitle#sol=53313156881a55bd85407dbab8415bb6451e3b45,data scientist
Data Operation Center Engineer,,South Tangerang,,,2d ago,,https://id.jobstreet.com/job/90685373?type=standard&ref=search-standalone&origin=cardTitle#sol=ecff0e0c0e6bcb8c63290ea295ad4cbe6872f383,data scientist
AI Automation & Process Optimization Assistant Manager,CINEPOLIS INDONESIA,Tangerang,,,2d ago,,https://id.jobstreet.com/job/90455828?type=standard&ref=search-standalone&origin=cardTitle#sol=1dc87bcd73cbdc8db2e866f37c50937fc10f17bc,data scientist
Product Manager (Fraud Detection System),PT Empore Hezer Tama,South Jakarta,,,2d ago,,https://id.jobstreet.com/job/90683988?type=standard&ref=search-standalone&origin=cardTitle#sol=aeb504b71771fd362ac10a1e5b6968fe0bd06e99,data scientist
Senior Full Stack,Goodeva Technology,Yogyakarta Special Region,,,2d ago,,https://id.jobstreet.com/job/90684573?type=standard&ref=search-standalone&origin=cardTitle#sol=d391874b095171597bf7a289ac86e79afe6d5a54,data scientist
Lab Analyst Junior (ATLM) - Jakarta,Staffinc,Jakarta,Rp 6.500.000 – Rp 6.700.000 per month,,2d ago,,https://id.jobstreet.com/job/90684560?type=standard&ref=search-standalone&origin=cardTitle#sol=91c17731a34dc5fd2b1b9441a42983cbba7bf55a,data scientist
Lead Data Scientist,Populix,Jakarta,,,2d ago,,https://id.jobstreet.com/job/90684300?type=standard&ref=search-standalone&origin=cardTitle#sol=21c2d303861981813ffc214c290a5d8838eb26eb,data scientist
AI Engineer,PT Cerdas Digital Nusantara,Tangerang District,,,2d ago,,https://id.jobstreet.com/job/90683433?type=standard&ref=search-standalone&origin=cardTitle#sol=d885f320ea649375dde6baa2086bc4e3c7c39a90,data scientist
Sales Data Analysis,Best Indonesian Gift,Badung,Rp 3.800.000 – Rp 5.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90681457?type=standard&ref=search-standalone&origin=cardTitle#sol=7458f2b818d295d3bd52b22ba269e686ab535e09,data scientist
Research Analyst,PT Katadata Indonesia,South Jakarta,,,2d ago,,https://id.jobstreet.com/job/90680511?type=standard&ref=search-standalone&origin=cardTitle#sol=ab73ea9cb0ef0f09e2b76c21306bbf47d9046ad1,data scientist
Data Analyst,PT Sigma Digital Nusantara,Yogyakarta,Rp 2.500.000 – Rp 3.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90680268?type=standard&ref=search-standalone&origin=cardTitle#sol=ce7d14691f66d1b327b535a53b0477a45ea04329,data scientist
Data Center System Operation Officer,PT CIMB Niaga Auto Finance,Tangerang,,,2d ago,,https://id.jobstreet.com/job/90665684?type=standard&ref=search-standalone&origin=cardTitle#sol=ee036457a3a325d6c12e471422459367a390d2c7,data scientist
Analis Data Support,PT PUTRA MANDIRI PERKASA INDONESIA,North Jakarta,Rp 5.750.000 – Rp 6.500.000 per month,,2d ago,,https://id.jobstreet.com/job/90679788?type=standard&ref=search-standalone&origin=cardTitle#sol=3acc06815ae1b18a7bf23dd2d3a14f82c365ca60,data scientist
AI Automation Developer,PT. Impian Property Management,Badung,Rp 6.000.000 – Rp 8.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90679549?type=standard&ref=search-standalone&origin=cardTitle#sol=30bb1e0e17c97b17f3db081deb05348d3d3eeb7c,data scientist
IT Manager (Enterprise Systems & Data),CV Unitech Indonesia,Malang,,,2d ago,,https://id.jobstreet.com/job/90674778?type=standard&ref=search-standalone&origin=cardTitle#sol=c9cdc0fc89c60de17b175cf88373c6621515a575,data scientist
Data Analyst,Catalyst,Kebayoran Lama,,,2d ago,,https://id.jobstreet.com/job/90699920?type=standard&ref=search-standalone&origin=cardTitle#sol=41b7dbd979b1fb8d4782eac281718facda57ad51,data scientist
2027 Graduate Program - Technology,Macquarie Group,Indonesia,,,2d ago,,https://id.jobstreet.com/job/90668934?type=standard&ref=search-standalone&origin=cardTitle#sol=6bdb8a5c40a13c05ec7198f6305dda8ed0210a5d,data scientist
Jr. Data Engineer,ALPHALITICAL,Kebayoran Lama,,,2d ago,,https://id.jobstreet.com/job/90668038?type=standard&ref=search-standalone&origin=cardTitle#sol=d8ca63fde417e626b8e2f2c6dceff8cb698ca513,data scientist
Executive Assistant to Director,TurnkeyID,Surabaya,Rp 6.000.000 – Rp 9.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90665718?type=standard&ref=search-standalone&origin=cardTitle#sol=dd133dcd49e2c674d8aad8ce27a48ead2d7021e1,data scientist
"Data Product Owner, Senior Manager",Macquarie Group,Indonesia,,,2d ago,,https://id.jobstreet.com/job/90665248?type=standard&ref=search-standalone&origin=cardTitle#sol=3b0133743cffe00e7e42403d4ca5fe93c435b7d4,data scientist
Trading Analyst (Pilot),TurnkeyID,Yogyakarta,Rp 4.000.000 – Rp 6.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90664951?type=standard&ref=search-standalone&origin=cardTitle#sol=d50df5bc17aef7094de23329eb7623095de0a544,data scientist
ETL Pentaho Developer,PT. BUSINESS ECLOUD INDONESIA INFORMATION TECHNOLOGY,Central Jakarta,,,2d ago,,https://id.jobstreet.com/job/90661995?type=standard&ref=search-standalone&origin=cardTitle#sol=e4d5fc2f8e4ed260d17edf1c710ae06cbedbf36b,data scientist
Data Engineer Associate,OTTO Digital,Kebayoran Lama,,,2d ago,,https://id.jobstreet.com/job/90668135?type=standard&ref=search-standalone&origin=cardTitle#sol=66c3429b1416b4b577f1ebbefdaf92d34a98c537,data scientist
Data Analyst Associate,OTTO Digital,Kebayoran Lama,,,2d ago,,https://id.jobstreet.com/job/90668114?type=standard&ref=search-standalone&origin=cardTitle#sol=26981d682976c2488297da531de9febac5ecbb3a,data scientist
Food Safety Data Analyst,PT. Bionic Natura,Tangerang District,,,2d ago,,https://id.jobstreet.com/job/90660329?type=standard&ref=search-standalone&origin=cardTitle#sol=3f32bc06711f2760b130b63c1ee5230704a3cc51,data scientist
Analyst Laboratorium Staff,PT Inti Surya Laboratorium,Cisauk,Rp 4.200.000 – Rp 5.000.000 per month,,2d ago,,https://id.jobstreet.com/job/90659831?type=standard&ref=search-standalone&origin=cardTitle#sol=940748289c4b5629aa44b39405f48a4a28bec0c6,data scientist
Research Ops,Aleph,Jakarta,,,2d ago,,https://id.jobstreet.com/job/90668116?type=standard&ref=search-standalone&origin=cardTitle#sol=0dd0b2475a8f0630c2a8a1ad81eba05588c6fbea,data scientist
Client Data Lead | Fen X,Macquarie Group,Indonesia,,,3d ago,,https://id.jobstreet.com/job/90658298?type=standard&ref=search-standalone&origin=cardTitle#sol=0d90675314d952a56a385db38dd6205eabfaaaa7,data scientist
Akseptasi,PT. Asuransi Umum BCA,Jakarta,,,3d ago,,https://id.jobstreet.com/job/90653433?type=standard&ref=search-standalone&origin=cardTitle#sol=644b0ce7f742997beaaa965360c02d47e661fe43,data scientist
AI Engineer,PT. UNIVERSAL BAHTERA INDO,Kosambi,,,3d ago,,https://id.jobstreet.com/job/90652942?type=standard&ref=search-standalone&origin=cardTitle#sol=c5115cbfc0712567360f32505cb0edae81092fb8,data scientist
Operational Compliance & Data Monitoring Officer,PT Chateraise Gobel Indonesia,South Jakarta,,,3d ago,,https://id.jobstreet.com/job/90652882?type=standard&ref=search-standalone&origin=cardTitle#sol=cd94ad9eb410fd14ca7f51d09c4f44f56b09354b,data scientist
PERFORMANCE ANALYSIS MANAGER,,Jakarta,Rp 15.000.000 – Rp 20.000.000 per month,,3d ago,,https://id.jobstreet.com/job/90651407?type=standard&ref=search-standalone&origin=cardTitle#sol=4a52280d2976ce40bb44097024c4190d2f8f3091,data scientist
Data Engineer,PT Digdaya Duta Digital,Setiabudi,,,3d ago,,https://id.jobstreet.com/job/90649189?type=standard&ref=search-standalone&origin=cardTitle#sol=5cfe41ac49bb2b8b51f6a96b5d8b205e40527de7,data scientist
Senior DWH DBA Engineer,PT Home Credit Indonesia,South Jakarta,,,3d ago,,https://id.jobstreet.com/job/90648971?type=standard&ref=search-standalone&origin=cardTitle#sol=ec95af41e8f9c59b46a2c3d853002a49af1ac9fe,data scientist
AI Engineer,PT Digdaya Duta Digital,Setiabudi,,,3d ago,,https://id.jobstreet.com/job/90648380?type=standard&ref=search-standalone&origin=cardTitle#sol=c2c8b82db22675ab73c750c6565a93af5e8a9e01,data scientist
Product Owner,PT Digdaya Duta Digital,Setiabudi,,,3d ago,,https://id.jobstreet.com/job/90647714?type=standard&ref=search-standalone&origin=cardTitle#sol=8cd9bbe2ea7ae5100a1c781f5dd8769a103b7fa9,data scientist
Lead Engineer,PT Digdaya Duta Digital,Setiabudi,,,3d ago,,https://id.jobstreet.com/job/90647238?type=standard&ref=search-standalone&origin=cardTitle#sol=c1c93f09fb315dc8712ae94c02506dfee907bd09,data scientist
Artificial Intelligence Engineer,PT Macbramindo Harum Abadi,Tangerang,,,3d ago,,https://id.jobstreet.com/job/90645174?type=standard&ref=search-standalone&origin=cardTitle#sol=bffde182c5e213eaa18a895e06a4eacf4cb68ab8,data scientist
Analisis Bioinformatika,Institut Teknologi Del,Toba Samosir,,,3d ago,,https://id.jobstreet.com/job/90644923?type=standard&ref=search-standalone&origin=cardTitle#sol=9213f33bf23991fb8746706fdd91b4775504f318,data scientist
Growth Operations Analyst / Data Analyst,PT. Rupa Aestetika Teknologi Aktual (RATA),Kebayoran Lama,,,3d ago,,https://id.jobstreet.com/job/90644509?type=standard&ref=search-standalone&origin=cardTitle#sol=4276914c1143e236a81728e3c94877cf95144572,data scientist
Data Analyst,PT. Solusi Jasa Teknologi,Tangerang,Rp 7.000.000 – Rp 8.000.000 per month,,3d ago,,https://id.jobstreet.com/job/90644166?type=standard&ref=search-standalone&origin=cardTitle#sol=648f1127bcdd5a7daf05c4c36b1b2460691c4fcd,data scientist
AI Engineer Internship,OPPO Indonesia,Tangerang,Rp 3.000.000 per month,,3d ago,,https://id.jobstreet.com/job/90642857?type=standard&ref=search-standalone&origin=cardTitle#sol=defb3a6cc8d9d3c9850ed0a6090baf257e8baf6c,data scientist
AI Engineer,PT Graha Karya Informasi,Central Jakarta,Rp 13.000.000 – Rp 18.000.000 per month,,3d ago,,https://id.jobstreet.com/job/90215972?type=standard&ref=search-standalone&origin=cardTitle#sol=b01caa5e52ac2f3b11a4aff3b911b687c2dcc3ee,data scientist
Data Engineer,PT Graha Karya Informasi,Jakarta,Rp 10.000.000 – Rp 13.000.000 per month,,3d ago,,https://id.jobstreet.com/job/90642008?type=standard&ref=search-standalone&origin=cardTitle#sol=959ff00e6d67a4fe85776ee5fb296ae7d7674d48,data scientist
System Analyst,PT. Youzan International Indonesia,West Jakarta,,,3d ago,,https://id.jobstreet.com/job/90638060?type=standard&ref=search-standalone&origin=cardTitle#sol=22dc5c4d9a52a6ba9298db8410fdf0b312f59ac5,data scientist
LSMPA Data Analyst,Konservasi Indonesia,Kebayoran Lama,,,3d ago,,https://id.jobstreet.com/job/90637735?type=standard&ref=search-standalone&origin=cardTitle#sol=ca19963099c7e512755e66aa846ab54986bee47f,data scientist
Statistic Clerk,PT.Elecmetal Longteng Indonesia,Batang Regency,,,4d ago,,https://id.jobstreet.com/job/90635138?type=standard&ref=search-standalone&origin=cardTitle#sol=8b075ec68d520d8495667d5a0b0f10ec0fec9f13,data scientist
Supervisor Data Analyst Marketing,PT Nissin Foods Indonesia,South Jakarta,,,4d ago,,https://id.jobstreet.com/job/90634706?type=standard&ref=search-standalone&origin=cardTitle#sol=f9a8d9c35b2d41d47ec266904ee6fc1da53cb4b9,data scientist
PRODUCT DATA SPECIALIST,CV.KARYA PRATAMA PERKASA,North Denpasar,Rp 3.500.000 – Rp 5.000.000 per month,,5d ago,,https://id.jobstreet.com/job/90631579?type=standard&ref=search-standalone&origin=cardTitle#sol=d2315d8d4936a16b77ee2c7047d0ea80b24f0c1c,data scientist
Sales Data Analyst,PT Arta Boga Cemerlang,Surakarta,"Rp 2,500,000 – Rp 3,000,000 per month",,5d ago,,https://id.jobstreet.com/job/90630913?type=standard&ref=search-standalone&origin=cardTitle#sol=2e15436fcf1d5bd2d825f81933e4598fc47446cd,data scientist
AI Sales Lead / Solution Lead – Banking (AI & GenAI),PT Simplify Consulting Indonesia,Jakarta,,,5d ago,,https://id.jobstreet.com/job/90630214?type=standard&ref=search-standalone&origin=cardTitle#sol=f50be7d898e7b5d0b16a3fea5a84e544adc94816,data scientist
Analisis Data Spesialist platform Mandarin Speaker,PT. Zhisheng Pacific Trading (Mixue),Jakarta,Rp 10.000.000 – Rp 15.000.000 per month,,5d ago,,https://id.jobstreet.com/job/90629095?type=standard&ref=search-standalone&origin=cardTitle#sol=b9ebc0ec0592a01733c28d2214c24a53db351548,data scientist
SALES DATA ANALYST STAFF,FA Merak,West Java,,,5d ago,,https://id.jobstreet.com/job/90628790?type=standard&ref=search-standalone&origin=cardTitle#sol=3a7dfd45ba4333156f58d8335e7cef3e6517230b,data scientist
STRATEGIC PLANNING OFFICER,PT Maritim Barito Perkasa (Adaro Logistics Group),Jakarta,,,5d ago,,https://id.jobstreet.com/job/90626563?type=standard&ref=search-standalone&origin=cardTitle#sol=fda1e628abbbe1ec018c2bc57fdc21704ef584b7,data scientist
DATA ANALAYST (FRAUD MONITORING),PT Karya Solusi Prima Sejahtera,Tangerang,Rp 4.500.000 – Rp 5.100.000 per month,,5d ago,,https://id.jobstreet.com/job/90624790?type=standard&ref=search-standalone&origin=cardTitle#sol=7f49aa472ceb65127843a0ea68da9f69868d7562,data scientist
Business Analyst (AI Optimization),VisionTech Pte. Ltd,Jakarta,"Rp 10,000,000 – Rp 15,000,000 per month",,5d ago,,https://id.jobstreet.com/job/90624028?type=standard&ref=search-standalone&origin=cardTitle#sol=e3479e020010031f5a45533947c44085f6f1bb5e,data scientist
Business Intelligence,Deliveree (PT Angkut Teknologi Indonesia),Jakarta,,,5d ago,,https://id.jobstreet.com/job/90626103?type=standard&ref=search-standalone&origin=cardTitle#sol=c4fa02933c15f97f9312e16b281cd99a4ec37d82,data scientist
Data Support Spv - Consumer Good,,Jakarta,Rp 6.000.000 – Rp 9.000.000 per month,,5d ago,,https://id.jobstreet.com/job/90623421?type=standard&ref=search-standalone&origin=cardTitle#sol=4eac72536c782e92b82b32f9be6ba3b84f179ab6,data scientist
DATA ANALYST,PT Alun Indah,Jakarta,,,5d ago,,https://id.jobstreet.com/job/90622844?type=standard&ref=search-standalone&origin=cardTitle#sol=023bfef6bf57c82186b4aeded76499d968b3fd94,data scientist
Data Scientist,PT Sisindokom Lintasbuana,Central Jakarta,,,5d ago,,https://id.jobstreet.com/job/90622289?type=standard&ref=search-standalone&origin=cardTitle#sol=e374e9e96bceb5d2b1cbae9b2cb6cb24f3ff369f,data scientist
Sensory Analyst,PT Nojorono Tobacco International,Kudus Kota,,,6d ago,,https://id.jobstreet.com/job/90620541?type=standard&ref=search-standalone&origin=cardTitle#sol=6f91d7e8f7c607e2c2c63b2ed07424e9acb0519b,data scientist
Data Analyst President's Office Officer,Yayasan Bina Nusantara,Tangerang,,,6d ago,,https://id.jobstreet.com/job/90618744?type=standard&ref=search-standalone&origin=cardTitle#sol=24ff472ca6d183f65de6ab87d1650462c7eb7f25,data scientist
DATA ANALIS,MIKALINDO BAKTI CEMERLANG,West Jakarta,"Rp 6,000,000 – Rp 7,000,000 per month",,6d ago,,https://id.jobstreet.com/job/90617884?type=standard&ref=search-standalone&origin=cardTitle#sol=e7223bd84ba4e7a1e89fba0bb6fce8c40fd3f821,data scientist
Data Center Architect,PT. RJGF International Indonesia,Jakarta,,,6d ago,,https://id.jobstreet.com/job/90611214?type=standard&ref=search-standalone&origin=cardTitle#sol=21cc5b19ccb1116acd01a0d61f4023cb9c931178,data scientist
Supply Chain Management & Data Analytics Manager,PT Mitra Berlian Unggas,Bandung,,,6d ago,,https://id.jobstreet.com/job/90615499?type=standard&ref=search-standalone&origin=cardTitle#sol=3eb665d57a6efc5a551b43da11cc960ee6b0ceb2,data scientist
Production Data & Planning Officer - Layer Commercial,PT Mitra Berlian Unggas,Bandung,,,6d ago,,https://id.jobstreet.com/job/90615215?type=standard&ref=search-standalone&origin=cardTitle#sol=185fa034e56384c1f8c931ce1be7670b6faf0d2b,data scientist
MIS Developer,PT Indocyber Global Teknologi,Jakarta,,,6d ago,,https://id.jobstreet.com/job/90626097?type=standard&ref=search-standalone&origin=cardTitle#sol=368bfca7374a5c4749c7f677f66f2be403e715e8,data scientist
Data Analyst,PT Ratna Asia,Surabaya,,,6d ago,,https://id.jobstreet.com/job/90610241?type=standard&ref=search-standalone&origin=cardTitle#sol=210f8e1ab43c86c9de7d3cd78aaa45c15cb4e06a,data scientist
AI Engineer,TUNTUN SEKURITAS INDONESIA,North Jakarta,,,6d ago,,https://id.jobstreet.com/job/90609804?type=standard&ref=search-standalone&origin=cardTitle#sol=af5c50c4fc33e76d010fca9ec658b93ac733b432,data scientist
Data Engineer,TUNTUN SEKURITAS INDONESIA,North Jakarta,,,6d ago,,https://id.jobstreet.com/job/90609708?type=standard&ref=search-standalone&origin=cardTitle#sol=398d7d0684e1108532e468e559276fc2d0ebdb75,data scientist
Data Scientist,"PT. Metrodata Electronics, Tbk",Kalideres,,,6d ago,,https://id.jobstreet.com/job/90615823?type=standard&ref=search-standalone&origin=cardTitle#sol=e413610b49074a52125e17c3b6e07ca3783ce375,data scientist
22. IT BUSINESS APPLICATION,PT Yamaha Motor Electronics Indonesia,Pulo Gadung,,,6d ago,,https://id.jobstreet.com/job/90609120?type=standard&ref=search-standalone&origin=cardTitle#sol=2c26fcdf7ce5961aac60a73fe19a732daa1c2a85,data scientist
Data Analyst,PT. MAX AUTO INDONESIA,Semarang,,,6d ago,,https://id.jobstreet.com/job/90608140?type=standard&ref=search-standalone&origin=cardTitle#sol=62a268ec4bc37071d92bea3b3bcd8fd5f3d07bef,data scientist
Artificial Intelligence Manager,PT. TRANSNOVASI BANGUN PERSADA,East Jakarta,,,6d ago,,https://id.jobstreet.com/job/90606268?type=standard&ref=search-standalone&origin=cardTitle#sol=e1a76f557e59349a3de01c5701bcbc803a273039,data scientist
Data Support Project Intern (GBS ID Agency) - 2026 Start (BS/MS),TIKTOK PTE LTD (TIKTOK),North Jakarta,,,6d ago,,https://id.jobstreet.com/job/90599167?type=standard&ref=search-standalone&origin=cardTitle#sol=fba49ca9a1c4b4d2aaeebf6d898df7ca5a9d33f7,data scientist
Pricing Analyst,PT Luxehouze Group Indonesia,Jakarta,,,6d ago,,https://id.jobstreet.com/job/90598683?type=standard&ref=search-standalone&origin=cardTitle#sol=d33e866f48eac52484856f87e177b6fa7c9ff803,data scientist
Data Engineer,PT Binajasa Sumber Sarana (BSS Recruitment),South Jakarta,Rp 6.000.000 – Rp 6.250.000 per month,,6d ago,,https://id.jobstreet.com/job/90596619?type=standard&ref=search-standalone&origin=cardTitle#sol=db8fe81a0ef22f3de9a06f3affc83dfcb2c9cf61,data scientist
Executive - Data Analyst || Finance Platform Solution,Macquarie Group,Indonesia,,,6d ago,,https://id.jobstreet.com/job/90595245?type=standard&ref=search-standalone&origin=cardTitle#sol=1e1367ef13b632ea31162b02aed9a2f9ce21f5bc,data scientist
Data Analytic Outsource (12 months),PT Asuransi Allianz Life Indonesia,Jakarta,,,6d ago,,https://id.jobstreet.com/job/90594105?type=standard&ref=search-standalone&origin=cardTitle#sol=adad74fda140935095bd9ae49a5e337865b442ea,data scientist
System Analyst,PT Tri Digital Perkasa (Volantis Technology),Yogyakarta Special Region,,,6d ago,,https://id.jobstreet.com/job/90594044?type=standard&ref=search-standalone&origin=cardTitle#sol=5dd9521eeac9a2e55cb16c79f941859d19d44682,data scientist
Data Analyst Staff,PT Lintas Semesta,Tangerang,,,6d ago,,https://id.jobstreet.com/job/90593862?type=standard&ref=search-standalone&origin=cardTitle#sol=e66bcc76c342249eb096baebed6f2ad418737202,data scientist
Business Analyst Staff,Indofood Group,Kebayoran Lama,,,6d ago,,https://id.jobstreet.com/job/90593840?type=standard&ref=search-standalone&origin=cardTitle#sol=775f2392d936a9f86a342fc587085aff1af632e0,data scientist
AI Project Management Officer - SPX Express,Shopee Internasional Indonesia,Jakarta,,,6d ago,,https://id.jobstreet.com/job/90593378?type=standard&ref=search-standalone&origin=cardTitle#sol=4f668e78b647fca91373727b9d6d86e0bc73e8ff,data scientist
Data Collection Officer,PT Suracojaya Abadimotor (Makassar),Makassar,Rp 4.150.000 per month,,7d ago,,https://id.jobstreet.com/job/90591506?type=standard&ref=search-standalone&origin=cardTitle#sol=fd565e34980b1d0bea635b49267468f44366a1c3,data scientist
Supervisor Data Analyst & Supply Chain (Retail Fashion),Blessindo (Bandung),Cimahi,Rp 6.500.000 – Rp 9.000.000 per month,,7d ago,,https://id.jobstreet.com/job/90590881?type=standard&ref=search-standalone&origin=cardTitle#sol=16a9c534645d425317c343063e375bd1f9d8b796,data scientist
Data Analyst,PT Global Yimi Cargo (J&T Cargo),Makassar,,,7d ago,,https://id.jobstreet.com/job/90589137?type=standard&ref=search-standalone&origin=cardTitle#sol=22f553477eaac530caa6537c53491a0238ac2a25,data scientist
Junior AI & Data Engineer,PT Solusi Prima Packaging,South Tangerang,,,7d ago,,https://id.jobstreet.com/job/90585842?type=standard&ref=search-standalone&origin=cardTitle#sol=58ade8a50dcf0ea1ef4838705d2f0067efb2f8bf,data scientist
